brick_id,pickup_start,pickup_end,pickup_attempts,belt_activation,place_end
2,20240614_153023,20240614_153151,3,0,20240614_153202
3,20240614_153202,20240614_153217,1,0,20240614_153228
4,20240614_153228,20240614_153242,1,0,20240614_153253
5,20240614_153253,20240614_153308,1,0,20240614_153319
6,20240614_153319,20240614_153333,1,0,20240614_153344
7,20240614_153344,20240614_153521,2,1,20240614_153532
8,20240614_153532,20240614_153547,1,0,20240614_153557
9,20240614_153557,20240614_153612,1,0,20240614_153623
