brick_id,pickup_start,pickup_end,pickup_attempts,belt_activation,place_end
145,20240617_140211,20240617_140239,1,0,20240617_140251
144,20240617_140251,20240617_140342,3,1,20240617_140355
85,20240617_140355,20240617_140410,1,0,20240617_140422
152,20240617_140422,20240617_140438,1,0,20240617_140450
151,20240617_140450,20240617_140526,1,1,20240617_140538
86,20240617_140538,20240617_140614,1,1,20240617_140627
148,20240617_140627,20240617_140910,4,5,20240617_140923
150,20240617_140923,20240617_140937,1,0,20240617_140948
147,20240617_140948,20240617_141222,2,6,20240617_141235
149,20240617_141235,20240617_141249,1,0,20240617_141300
109,20240617_141300,20240617_141336,1,1,20240617_141346
58,20240617_141346,20240617_141423,1,1,20240617_141434
75,20240617_141434,20240617_141502,3,0,20240617_141513
82,20240617_141513,20240617_141603,3,1,20240617_141614
59,20240617_141614,20240617_141650,1,1,20240617_141701
78,20240617_141701,20240617_141714,1,0,20240617_141724
83,20240617_141724,20240617_141738,1,0,20240617_141749
63,20240617_141749,20240617_141824,1,1,20240617_141835
79,20240617_141835,20240617_141848,1,0,20240617_141859
84,20240617_141859,20240617_141926,3,0,20240617_141940
64,20240617_141940,20240617_142029,2,1,20240617_142039
81,20240617_142039,20240617_142138,3,1,20240617_142148
155,20240617_142148,20240617_142238,3,1,20240617_142251
157,20240617_142251,20240617_142349,1,2,20240617_142402
87,20240617_142402,20240617_142430,3,0,20240617_142443
