brick_id,pickup_start,pickup_end,pickup_attempts,belt_activation,place_end
58,20240616_132649,20240616_132717,1,0,20240616_132727
59,20240616_132727,20240616_132742,1,0,20240616_132752
60,20240616_132752,20240616_132806,1,0,20240616_132816
61,20240616_132816,20240616_132830,1,0,20240616_132840
62,20240616_132840,20240616_132853,1,0,20240616_132904
63,20240616_132904,20240616_132940,1,1,20240616_132950
64,20240616_132950,20240616_133046,3,1,20240616_133056
65,20240616_133056,20240616_133132,1,1,20240616_133146
71,20240616_133146,20240616_133242,1,2,20240616_133253
72,20240616_133253,20240616_133328,1,1,20240616_133342
73,20240616_133342,20240616_133418,1,1,20240616_133429
74,20240616_133429,20240616_133538,2,2,20240616_133548
14,20240616_133548,20240616_133828,1,7,20240616_133840
15,20240616_133840,20240616_133921,2,1,20240616_133933
16,20240616_133933,20240616_134008,1,1,20240616_134021
17,20240616_134021,20240616_134129,2,2,20240616_134142
