brick_id,pickup_start,pickup_end,pickup_attempts,belt_activation,place_end
17,20240614_154838,20240614_154949,1,0,20240614_155000
18,20240614_155000,20240614_155015,1,0,20240614_155026
19,20240614_155026,20240614_155047,2,0,20240614_155058
20,20240614_155058,20240614_155112,1,0,20240614_155123
21,20240614_155123,20240614_155137,1,0,20240614_155148
22,20240614_155148,20240614_155202,1,0,20240614_155213
23,20240614_155213,20240614_155333,2,1,20240614_155344
24,20240614_155344,20240614_155358,1,0,20240614_155410
25,20240614_155410,20240614_155424,1,0,20240614_155435
26,20240614_155435,20240614_155449,1,0,20240614_155500
27,20240614_155500,20240614_155635,2,1,20240614_155646
28,20240614_155646,20240614_155700,1,0,20240614_155711
29,20240614_155711,20240614_155725,1,0,20240614_155736
30,20240614_155736,20240614_155750,1,0,20240614_155802
31,20240614_155802,20240614_155915,1,1,20240614_155926
32,20240614_155926,20240614_155941,1,0,20240614_155952
33,20240614_155952,20240614_160006,1,0,20240614_160017
34,20240614_160017,20240614_160031,1,0,20240614_160042
35,20240614_160042,20240614_160154,1,1,20240614_160205
36,20240614_160205,20240614_160219,1,0,20240614_160231
37,20240614_160231,20240614_160246,1,0,20240614_160257
38,20240614_160257,20240614_160311,1,0,20240614_160322
39,20240614_160322,20240614_160434,1,1,20240614_160445
40,20240614_160445,20240614_160507,2,0,20240614_160518
41,20240614_160518,20240614_160532,1,0,20240614_160544
42,20240614_160544,20240614_160656,1,1,20240614_160708
