brick_id,pickup_start,pickup_end,pickup_attempts,belt_activation,place_end
96,20240616_122156,20240616_122244,1,1,20240616_122258
109,20240616_122258,20240616_122313,1,0,20240616_122323
110,20240616_122323,20240616_122400,1,1,20240616_122411
117,20240616_122411,20240616_122425,1,0,20240616_122440
119,20240616_122440,20240616_122515,1,1,20240616_122526
0,20240616_122526,20240616_122729,3,4,20240616_122741
47,20240616_122741,20240616_122836,1,2,20240616_122849
97,20240616_122849,20240616_122936,2,1,20240616_122948
98,20240616_122948,20240616_123058,2,2,20240616_123111
120,20240616_123111,20240616_123125,1,0,20240616_123137
