brick_id,pickup_start,pickup_end,pickup_attempts,belt_activation,place_end
113,20240616_115533,20240616_115601,1,0,20240616_115617
114,20240616_115617,20240616_115639,2,0,20240616_115655
118,20240616_115655,20240616_115753,1,2,20240616_115804
2,20240616_115804,20240616_120436,5,16,20240616_120447
3,20240616_120447,20240616_120532,2,1,20240616_120543
4,20240616_120543,20240616_120617,1,1,20240616_120628
5,20240616_120628,20240616_120704,1,1,20240616_120715
91,20240616_120715,20240616_120751,1,1,20240616_120803
92,20240616_120803,20240616_120817,1,0,20240616_120830
93,20240616_120830,20240616_120905,1,1,20240616_120917
94,20240616_120917,20240616_121000,2,1,20240616_121013
105,20240616_121013,20240616_121106,3,1,20240616_121118
106,20240616_121118,20240616_121131,1,0,20240616_121144
107,20240616_121144,20240616_121219,1,1,20240616_121232
108,20240616_121232,20240616_121246,1,0,20240616_121258
115,20240616_121258,20240616_121354,3,1,20240616_121411
116,20240616_121411,20240616_121425,1,0,20240616_121442
43,20240616_121442,20240616_121525,2,1,20240616_121537
44,20240616_121537,20240616_121620,2,1,20240616_121630
45,20240616_121630,20240616_121708,1,1,20240616_121719
46,20240616_121719,20240616_121817,1,2,20240616_121830
95,20240616_121830,20240616_121941,2,2,20240616_121952
