brick_id,pickup_start,pickup_end,pickup_attempts,belt_activation,place_end
1,20240614_150423,20240614_150548,2,0,20240614_150559
2,20240614_150559,20240614_150613,1,0,20240614_150624
3,20240614_150624,20240614_150638,1,0,20240614_150649
4,20240614_150649,20240614_150704,1,0,20240614_150715
5,20240614_150715,20240614_150728,1,0,20240614_150739
6,20240614_150739,20240614_150754,1,0,20240614_150806
7,20240614_150806,20240614_150819,1,0,20240614_150831
8,20240614_150831,20240614_150948,1,1,20240614_150959
9,20240614_150959,20240614_151020,2,0,20240614_151031
10,20240614_151031,20240614_151045,1,0,20240614_151056
11,20240614_151056,20240614_151118,2,0,20240614_151129
12,20240614_151129,20240614_151143,1,0,20240614_151155
13,20240614_151155,20240614_151331,2,1,20240614_151342
