brick_id,pickup_start,pickup_end,pickup_attempts,belt_activation,place_end
134,20240617_133626,20240617_133653,1,0,20240617_133703
114,20240617_133703,20240617_133717,1,0,20240617_133728
130,20240617_133728,20240617_133742,1,0,20240617_133753
136,20240617_133753,20240617_133812,2,0,20240617_133823
115,20240617_133823,20240617_134131,3,7,20240617_134144
118,20240617_134144,20240617_134159,1,0,20240617_134211
121,20240617_134211,20240617_134306,3,1,20240617_134319
124,20240617_134319,20240617_134346,3,0,20240617_134359
137,20240617_134359,20240617_134457,1,2,20240617_134510
116,20240617_134510,20240617_134523,1,0,20240617_134536
141,20240617_134536,20240617_134633,3,1,20240617_134646
119,20240617_134646,20240617_134734,2,1,20240617_134746
122,20240617_134746,20240617_134841,3,1,20240617_134853
129,20240617_134853,20240617_134909,1,0,20240617_134922
138,20240617_134922,20240617_135016,3,1,20240617_135032
117,20240617_135032,20240617_135047,1,0,20240617_135059
142,20240617_135059,20240617_135136,1,1,20240617_135149
120,20240617_135149,20240617_135323,5,2,20240617_135335
123,20240617_135335,20240617_135410,1,1,20240617_135423
135,20240617_135423,20240617_135437,1,0,20240617_135449
140,20240617_135449,20240617_135538,2,1,20240617_135555
143,20240617_135555,20240617_135854,2,7,20240617_135907
