brick_id,pickup_start,pickup_end,pickup_attempts,belt_activation,place_end
75,20240616_134421,20240616_134449,1,0,20240616_134501
76,20240616_134501,20240616_134516,1,0,20240616_134529
77,20240616_134529,20240616_134551,2,0,20240616_134603
78,20240616_134603,20240616_134650,2,1,20240616_134703
79,20240616_134703,20240616_134717,1,0,20240616_134730
80,20240616_134730,20240616_134744,1,0,20240616_134757
81,20240616_134757,20240616_135032,2,6,20240616_135043
82,20240616_135043,20240616_135057,1,0,20240616_135108
18,20240616_135108,20240616_135226,3,2,20240616_135236
19,20240616_135236,20240616_135343,5,1,20240616_135354
20,20240616_135354,20240616_135407,1,0,20240616_135418
21,20240616_135418,20240616_135453,1,1,20240616_135504
22,20240616_135504,20240616_135540,1,1,20240616_135552
23,20240616_135552,20240616_135701,5,1,20240616_135713
24,20240616_135713,20240616_135750,1,1,20240616_135802
25,20240616_135802,20240616_135816,1,0,20240616_135828
26,20240616_135828,20240616_135918,2,1,20240616_135929
27,20240616_135929,20240616_135943,1,0,20240616_135954
28,20240616_135954,20240616_140007,1,0,20240616_140018
29,20240616_140018,20240616_140054,1,1,20240616_140104
30,20240616_140104,20240616_140118,1,0,20240616_140130
31,20240616_140130,20240616_140308,5,2,20240616_140320
32,20240616_140320,20240616_140444,3,2,20240616_140456
33,20240616_140456,20240616_140626,4,2,20240616_140639
34,20240616_140639,20240616_140732,3,1,20240616_140742
35,20240616_140742,20240616_140803,2,0,20240616_140813
36,20240616_140813,20240616_140907,3,1,20240616_140917
37,20240616_140917,20240616_141109,4,3,20240616_141120
38,20240616_141120,20240616_141202,2,1,20240616_141214
39,20240616_141214,20240616_141306,3,1,20240616_141319
40,20240616_141319,20240616_141333,1,0,20240616_141345
41,20240616_141345,20240616_141358,1,0,20240616_141411
