brick_id,pickup_start,pickup_end,pickup_attempts,belt_activation,place_end
18,20240617_124729,20240617_124831,2,1,20240617_124841
29,20240617_124841,20240617_124929,2,1,20240617_124940
76,20240617_124940,20240617_125022,2,1,20240617_125033
80,20240617_125033,20240617_125150,3,2,20240617_125202
77,20240617_125202,20240617_125323,1,3,20240617_125336
66,20240617_125336,20240617_125418,2,1,20240617_125429
70,20240617_125429,20240617_125537,2,2,20240617_125548
60,20240617_125548,20240617_125602,1,0,20240617_125613
67,20240617_125613,20240617_125648,1,1,20240617_125659
71,20240617_125659,20240617_125714,1,0,20240617_125725
61,20240617_125725,20240617_125813,2,1,20240617_125823
68,20240617_125823,20240617_125909,2,1,20240617_125919
73,20240617_125919,20240617_125957,1,1,20240617_130007
62,20240617_130007,20240617_130102,3,1,20240617_130113
69,20240617_130113,20240617_130212,1,2,20240617_130223
74,20240617_130223,20240617_130340,3,2,20240617_130350
65,20240617_130350,20240617_130404,1,0,20240617_130415
72,20240617_130415,20240617_130451,1,1,20240617_130502
28,20240617_130502,20240617_130610,2,2,20240617_130621
111,20240617_130621,20240617_130800,1,4,20240617_130812
100,20240617_130812,20240617_130910,3,1,20240617_130922
103,20240617_130922,20240617_130944,2,0,20240617_130956
108,20240617_130956,20240617_131046,3,1,20240617_131057
106,20240617_131057,20240617_131111,1,0,20240617_131124
92,20240617_131124,20240617_131552,3,11,20240617_131604
95,20240617_131604,20240617_131640,1,1,20240617_131653
98,20240617_131653,20240617_131737,2,1,20240617_131750
101,20240617_131750,20240617_131833,2,1,20240617_131845
104,20240617_131845,20240617_131859,1,0,20240617_131915
93,20240617_131915,20240617_131936,2,0,20240617_131948
107,20240617_131948,20240617_132024,1,1,20240617_132037
96,20240617_132037,20240617_132058,2,0,20240617_132111
99,20240617_132111,20240617_132156,2,1,20240617_132208
102,20240617_132208,20240617_132233,2,0,20240617_132246
105,20240617_132246,20240617_132333,2,1,20240617_132350
32,20240617_132350,20240617_132530,1,4,20240617_132540
139,20240617_132540,20240617_132554,1,0,20240617_132605
146,20240617_132605,20240617_132654,2,1,20240617_132705
125,20240617_132705,20240617_132719,1,0,20240617_132730
131,20240617_132730,20240617_132826,3,1,20240617_132837
110,20240617_132837,20240617_132850,1,0,20240617_132901
126,20240617_132901,20240617_132956,3,1,20240617_133007
132,20240617_133007,20240617_133021,1,0,20240617_133032
112,20240617_133032,20240617_133107,1,1,20240617_133118
127,20240617_133118,20240617_133153,1,1,20240617_133204
133,20240617_133204,20240617_133219,1,0,20240617_133230
113,20240617_133230,20240617_133307,1,1,20240617_133317
128,20240617_133317,20240617_133449,4,2,20240617_133500
