brick_id,pickup_start,pickup_end,pickup_attempts,belt_activation,place_end
102,20240616_110253,20240616_110321,1,0,20240616_110334
103,20240616_110334,20240616_110350,1,0,20240616_110402
111,20240616_110402,20240616_110500,3,1,20240616_110516
112,20240616_110516,20240616_110603,2,1,20240616_110620
42,20240616_110620,20240616_110823,4,3,20240616_110834
85,20240616_110834,20240616_110848,1,0,20240616_110859
88,20240616_110859,20240616_111142,6,4,20240616_111154
89,20240616_111154,20240616_111540,7,6,20240616_111553
