brick_id,pickup_start,pickup_end,pickup_attempts,belt_activation,place_end
1,20240614_144437,20240614_144649,3,0,20240614_144739
2,20240614_144739,20240614_144803,1,0,20240614_144847
3,20240614_144847,20240614_144908,1,0,20240614_144921
4,20240614_144921,20240614_144938,1,0,20240614_144950
5,20240614_144950,20240614_145008,1,0,20240614_145020
6,20240614_145020,20240614_145037,1,0,20240614_145050
7,20240614_145050,20240614_145212,1,1,20240614_145224
8,20240614_145224,20240614_145242,1,0,20240614_145255
9,20240614_145255,20240614_145332,3,0,20240614_145344
10,20240614_145344,20240614_145402,1,0,20240614_145414
11,20240614_145414,20240614_145431,1,0,20240614_145444
12,20240614_145444,20240614_145602,1,1,20240614_145615
13,20240614_145615,20240614_145631,1,0,20240614_145644
14,20240614_145644,20240614_145711,2,0,20240614_145724
15,20240614_145724,20240614_145741,1,0,20240614_145754
16,20240614_145754,20240614_145810,1,0,20240614_145823
17,20240614_145823,20240614_145840,1,0,20240614_145853
18,20240614_145853,20240614_145911,1,0,20240614_145924
