brick_id,pickup_start,pickup_end,pickup_attempts,belt_activation,place_end
35,20240625_132927,20240625_133031,3,1,20240625_133044
15,20240625_133044,20240625_133334,1,8,20240625_133346
255,20240625_133346,20240625_134200,3,24,20240625_134212
6,20240625_134212,20240625_134603,2,11,20240625_134618
33,20240625_134618,20240625_134705,2,1,20240625_134720
7,20240625_134720,20240625_135040,1,10,20240625_135051
14,20240625_135051,20240625_135155,2,2,20240625_135206
11,20240625_135206,20240625_135251,2,1,20240625_135302
16,20240625_135302,20240625_135620,1,10,20240625_135633
37,20240625_135633,20240625_135805,1,4,20240625_135816
42,20240625_135816,20240625_140252,1,14,20240625_140304
46,20240625_140304,20240625_140745,3,13,20240625_140758
53,20240625_140758,20240625_141127,3,9,20240625_141140
