brick_id,pickup_start,pickup_end,pickup_attempts,belt_activation,place_end
121,20240616_123300,20240616_123335,2,0,20240616_123348
1,20240616_123348,20240616_123519,2,3,20240616_123532
6,20240616_123532,20240616_123556,2,0,20240616_123608
7,20240616_123608,20240616_123705,1,2,20240616_123718
8,20240616_123718,20240616_123732,1,0,20240616_123745
9,20240616_123745,20240616_123827,2,1,20240616_123839
48,20240616_123839,20240616_124121,1,7,20240616_124134
122,20240616_124134,20240616_124150,1,0,20240616_124200
123,20240616_124200,20240616_124214,1,0,20240616_124225
