brick_id,pickup_start,pickup_end,pickup_attempts,belt_activation,place_end
3,20240617_115643,20240617_115723,3,0,20240617_115734
4,20240617_115734,20240617_115843,2,2,20240617_115854
7,20240617_115854,20240617_115908,1,0,20240617_115920
8,20240617_115920,20240617_115955,1,1,20240617_120007
0,20240617_120007,20240617_120207,1,5,20240617_120217
2,20240617_120217,20240617_120650,3,11,20240617_120701
23,20240617_120701,20240617_120736,1,1,20240617_120748
24,20240617_120748,20240617_121152,3,8,20240617_121205
19,20240617_121205,20240617_121535,5,7,20240617_121546
21,20240617_121546,20240617_121601,1,0,20240617_121612
5,20240617_121612,20240617_121814,1,5,20240617_121827
25,20240617_121827,20240617_121924,1,2,20240617_121935
22,20240617_121935,20240617_122011,1,1,20240617_122025
27,20240617_122025,20240617_122103,1,1,20240617_122114
26,20240617_122114,20240617_122259,3,3,20240617_122312
1,20240617_122312,20240617_122411,1,2,20240617_122421
6,20240617_122421,20240617_122436,1,0,20240617_122446
13,20240617_122446,20240617_123036,6,13,20240617_123048
47,20240617_123048,20240617_123205,1,3,20240617_123217
165,20240617_123217,20240617_123305,2,1,20240617_123315
12,20240617_123315,20240617_123352,1,1,20240617_123403
40,20240617_123403,20240617_123418,1,0,20240617_123430
41,20240617_123430,20240617_123535,2,2,20240617_123548
44,20240617_123548,20240617_123602,1,0,20240617_123614
51,20240617_123614,20240617_123657,2,1,20240617_123713
49,20240617_123713,20240617_124019,3,7,20240617_124032
46,20240617_124032,20240617_124108,1,1,20240617_124120
42,20240617_124120,20240617_124215,3,1,20240617_124227
45,20240617_124227,20240617_124305,1,1,20240617_124317
52,20240617_124317,20240617_124331,1,0,20240617_124348
53,20240617_124348,20240617_124423,1,1,20240617_124434
15,20240617_124434,20240617_124605,2,3,20240617_124615
