brick_id,pickup_start,pickup_end,pickup_attempts,belt_activation,place_end
133,20240616_130050,20240616_130117,1,0,20240616_130130
134,20240616_130130,20240616_130144,1,0,20240616_130157
135,20240616_130157,20240616_130210,1,0,20240616_130223
51,20240616_130223,20240616_130237,1,0,20240616_130248
52,20240616_130248,20240616_130349,4,1,20240616_130402
53,20240616_130402,20240616_130521,3,2,20240616_130534
54,20240616_130534,20240616_130621,2,1,20240616_130631
55,20240616_130631,20240616_130732,4,1,20240616_130745
56,20240616_130745,20240616_130821,1,1,20240616_130834
128,20240616_130834,20240616_130928,3,1,20240616_130945
129,20240616_130945,20240616_131028,2,1,20240616_131044
136,20240616_131044,20240616_131059,1,0,20240616_131116
137,20240616_131116,20240616_131159,2,1,20240616_131216
10,20240616_131216,20240616_131436,1,6,20240616_131447
11,20240616_131447,20240616_131535,2,1,20240616_131545
12,20240616_131545,20240616_131737,2,4,20240616_131748
13,20240616_131748,20240616_131835,2,1,20240616_131846
57,20240616_131846,20240616_131901,1,0,20240616_131911
66,20240616_131911,20240616_131924,1,0,20240616_131935
67,20240616_131935,20240616_132025,2,1,20240616_132037
68,20240616_132037,20240616_132133,3,1,20240616_132145
69,20240616_132145,20240616_132221,1,1,20240616_132234
70,20240616_132234,20240616_132358,4,2,20240616_132411
