brick_id,pickup_start,pickup_end,pickup_attempts,belt_activation,place_end
59,20240625_164941,20240625_165006,1,0,20240625_165018
62,20240625_165018,20240625_165111,1,2,20240625_165122
67,20240625_165122,20240625_165227,2,2,20240625_165237
63,20240625_165237,20240625_165459,2,6,20240625_165510
68,20240625_165510,20240625_170609,2,34,20240625_170619
65,20240625_170619,20240625_171227,1,19,20240625_171238
69,20240625_171238,20240625_171724,4,13,20240625_171737
73,20240625_171737,20240625_172341,4,17,20240625_172354
