brick_id,pickup_start,pickup_end,pickup_attempts,belt_activation,place_end
10,20240625_124438,20240625_124809,4,8,20240625_124820
17,20240625_124820,20240625_124908,2,1,20240625_124919
20,20240625_124919,20240625_125015,3,1,20240625_125027
22,20240625_125027,20240625_125041,1,0,20240625_125054
18,20240625_125054,20240625_125127,1,1,20240625_125140
21,20240625_125140,20240625_125408,4,5,20240625_125421
23,20240625_125421,20240625_125435,1,0,20240625_125447
25,20240625_125447,20240625_125600,1,3,20240625_125611
19,20240625_125611,20240625_125655,2,1,20240625_125707
24,20240625_125707,20240625_125740,1,1,20240625_125753
26,20240625_125753,20240625_125826,1,1,20240625_125839
27,20240625_125839,20240625_125853,1,0,20240625_125905
2,20240625_125905,20240625_130439,1,17,20240625_130452
259,20240625_130452,20240625_130506,1,0,20240625_130518
28,20240625_130518,20240625_130937,1,13,20240625_130948
