0,1,2,3,4,5,6,7,8
96.0,88.0,51.2,0,129,3020,106,0,0
48.0,40.0,54.400000000000006,0,130,3020,106,0,0
64.0,40.0,54.400000000000006,0,115,3003,106,4,1
64.0,56.0,54.400000000000006,0,131,3022,106,7,1
72.0,56.0,54.400000000000006,1,254,3001,106,8,3
48.0,72.0,54.400000000000006,0,252,3001,106,7,3
64.0,72.0,54.400000000000006,0,117,3003,21,7,3
80.0,72.0,54.400000000000006,0,120,3001,21,8,1
96.0,72.0,54.400000000000006,0,122,3003,106,9,2
64.0,88.0,54.400000000000006,0,118,3001,106,9,3
96.0,88.0,54.400000000000006,0,132,3020,21,8,1
112.0,88.0,54.400000000000006,0,126,3001,106,8,3
80.0,104.0,54.400000000000006,0,121,3001,106,8,2
96.0,120.0,54.400000000000006,0,125,3003,106,7,3
48.0,40.0,57.6,0,133,3022,106,0,0
64.0,40.0,57.6,0,136,3022,106,1,1
48.0,56.0,57.6,0,134,3022,106,7,1
72.0,56.0,57.6,1,140,3020,106,7,1
48.0,72.0,57.6,0,135,3020,106,7,1
80.0,72.0,57.6,0,141,3022,21,7,1
48.0,56.0,60.800000000000004,0,148,3020,106,0,0
72.0,56.0,60.800000000000004,1,149,3020,106,0,0
80.0,72.0,60.800000000000004,0,150,3022,106,7,1
48.0,56.0,64.0,0,151,3022,106,0,0
64.0,56.0,64.0,0,137,3003,25,9,1
80.0,56.0,64.0,0,153,3020,25,1,1
48.0,72.0,64.0,0,152,3022,106,7,1
64.0,72.0,64.0,0,138,3003,106,6,1
88.0,72.0,64.0,1,144,3001,106,8,2
64.0,88.0,64.0,0,139,3001,106,8,1
80.0,88.0,64.0,0,142,3003,21,7,3
96.0,88.0,64.0,0,145,3001,21,8,3
112.0,88.0,64.0,0,147,3001,106,8,3
80.0,104.0,64.0,0,143,3001,106,9,3
88.0,120.0,64.0,1,146,3001,106,8,3
48.0,56.0,67.2,0,154,3020,25,0,0
64.0,72.0,67.2,0,156,3022,106,0,0
112.0,72.0,67.2,0,165,3022,106,0,0
64.0,104.0,67.2,0,158,3022,106,0,0
96.0,104.0,67.2,0,163,3022,21,0,0
88.0,120.0,67.2,1,164,3020,106,7,1
48.0,72.0,70.4,0,167,3022,106,0,0
64.0,72.0,70.4,0,168,3022,106,1,1
112.0,72.0,70.4,0,171,3022,106,0,0
64.0,104.0,70.4,0,169,3022,106,0,0
96.0,104.0,70.4,0,170,3020,106,0,0
64.0,56.0,73.60000000000001,0,155,3003,25,3,2
80.0,56.0,73.60000000000001,0,159,3001,25,1,3
64.0,72.0,73.60000000000001,0,172,3022,106,6,1
96.0,72.0,73.60000000000001,0,162,3003,106,5,2
