brick_id,pickup_start,pickup_end,pickup_attempts,belt_activation,place_end,source_file
43,2024-05-21 12:45:29,2024-05-21 12:45:43,1,0,2024-05-21 12:45:54,KPI_DATA_build_20240521_122912.csv
44,2024-05-21 12:45:54,2024-05-21 12:47:47,3,1,2024-05-21 12:47:59,KPI_DATA_build_20240521_122912.csv
45,2024-05-21 12:47:59,2024-05-21 12:48:14,1,0,2024-05-21 12:48:25,KPI_DATA_build_20240521_122912.csv
46,2024-05-21 12:48:25,2024-05-21 12:50:23,1,1,2024-05-21 12:50:35,KPI_DATA_build_20240521_122912.csv
47,2024-05-21 12:50:35,2024-05-21 12:50:50,1,0,2024-05-21 12:51:02,KPI_DATA_build_20240521_122912.csv
48,2024-05-21 12:51:02,2024-05-21 12:52:35,1,1,2024-05-21 12:52:46,KPI_DATA_build_20240521_122912.csv
49,2024-05-21 12:52:46,2024-05-21 12:53:02,1,0,2024-05-21 12:53:14,KPI_DATA_build_20240521_122912.csv
50,2024-05-21 12:53:14,2024-05-21 12:55:05,2,1,2024-05-21 12:55:17,KPI_DATA_build_20240521_122912.csv
51,2024-05-21 12:55:17,2024-05-21 12:55:32,1,0,2024-05-21 12:55:43,KPI_DATA_build_20240521_122912.csv
52,2024-05-21 12:55:43,2024-05-21 12:56:14,3,0,2024-05-21 12:56:25,KPI_DATA_build_20240521_122912.csv
53,2024-05-21 12:56:25,2024-05-21 12:58:08,1,1,2024-05-21 12:58:19,KPI_DATA_build_20240521_122912.csv
54,2024-05-21 12:58:19,2024-05-21 12:58:41,1,0,2024-05-21 12:58:52,KPI_DATA_build_20240521_122912.csv
55,2024-05-21 12:58:52,2024-05-21 13:08:37,2,0,2024-05-21 13:08:49,KPI_DATA_build_20240521_122912.csv
56,2024-05-21 13:08:49,2024-05-21 13:10:30,1,1,2024-05-21 13:10:41,KPI_DATA_build_20240521_122912.csv
57,2024-05-21 13:10:41,2024-05-21 13:10:54,1,0,2024-05-21 13:11:06,KPI_DATA_build_20240521_122912.csv
58,2024-05-21 13:11:06,2024-05-21 13:11:23,1,0,2024-05-21 13:11:34,KPI_DATA_build_20240521_122912.csv
59,2024-05-21 13:11:34,2024-05-21 13:11:50,1,0,2024-05-21 13:12:01,KPI_DATA_build_20240521_122912.csv
60,2024-05-21 13:12:01,2024-05-21 13:12:26,1,0,2024-05-21 13:12:38,KPI_DATA_build_20240521_122912.csv
61,2024-05-21 13:12:38,2024-05-21 13:14:07,1,1,2024-05-21 13:14:19,KPI_DATA_build_20240521_122912.csv
62,2024-05-21 13:14:19,2024-05-21 13:14:42,2,0,2024-05-21 13:14:53,KPI_DATA_build_20240521_122912.csv
63,2024-05-21 13:14:53,2024-05-21 13:15:17,2,0,2024-05-21 13:15:28,KPI_DATA_build_20240521_122912.csv
