id,name,rgb,is_trans
26,Black,05131D,f
23,Blue,0055BF,f
28,Green,237841,f
21,Red,C91A09,f
24,Yellow,F2CD37,f
1,White,FFFFFF,f
2,Light Gray,9BA19D,f
283,Light Nougat,F6D7B3,f
222,Bright Pink,E4ADC8,f
9,Pink,FC97AC,f
192,Reddish Brown,582A12,f
154,Dark Red,720E0F,f
194,Light Bluish Gray,A0A5A9,f
308,Dark Brown,352100,f
25,Brown,583927,f
29,Medium Green,73DCA1,f
151,Sand Green,A0BCAC,f
37,Bright Green,4B9F4A,f
141,Dark Green,184632,f



